role,source_field,scene_idx,ra_deg,dec_deg,z_phot_legacy,z_phot_err,legacy_morphology,F444W_peak_sim_units,compactness_F444W,has_F444W
lens_scene,primer_cosmos,52,149.956256,2.338243,0.988476,0.090865,DEV,857.252502,0.189417,True
lens_scene,primer_cosmos,53,149.957106,2.343945,0.931939,0.083542,REX,1009.399597,0.213061,True
lens_scene,primer_cosmos,54,149.959148,2.276923,0.870382,0.035122,REX,1868.858887,0.176111,True
lens_scene,primer_cosmos,55,149.959956,2.362808,0.919489,0.068179,REX,2216.197998,0.204049,True
lens_scene,primer_cosmos,56,149.961415,2.349411,0.889142,0.044763,DEV,2254.365479,0.178255,True
lens_scene,primer_cosmos,57,149.962094,2.298173,0.837153,0.037591,REX,2031.245728,0.188708,True
lens_scene,primer_cosmos,58,149.962463,2.317198,0.355209,0.075836,REX,756.510498,0.200060,True
lens_scene,primer_cosmos,59,149.963321,2.313882,0.468544,0.081311,EXP,100.514824,0.139649,True
lens_scene,primer_cosmos,60,149.963463,2.357413,0.690186,0.054340,REX,528.548889,0.133167,True
lens_scene,primer_cosmos,61,149.965753,2.327172,0.302495,0.038133,SER,1387.316162,0.078357,True
lens_scene,primer_cosmos,62,149.967393,2.282206,0.914799,0.083888,DEV,437.597412,0.132221,True
lens_scene,primer_cosmos,63,149.967431,2.283419,0.644839,0.028164,DEV,850.459412,0.152278,True
lens_scene,primer_cosmos,64,149.967877,2.340805,0.978015,0.066507,DEV,1858.961060,0.174271,True
lens_scene,primer_cosmos,65,149.968388,2.327207,0.309071,0.054685,REX,225.196350,0.038539,True
lens_scene,primer_cosmos,66,149.968695,2.288718,0.477228,0.068006,REX,232.617508,0.089911,True
lens_scene,primer_cosmos,67,149.968758,2.369446,0.717166,0.032393,REX,867.102966,0.219253,True
lens_scene,primer_cosmos,68,149.969362,2.313102,0.462445,0.070162,EXP,123.178909,0.137070,True
lens_scene,primer_cosmos,69,149.970110,2.291345,0.387202,0.018436,SER,1293.744873,0.154497,True
lens_scene,primer_cosmos,70,149.970168,2.369926,0.760288,0.072289,DEV,798.743896,0.196242,True
lens_scene,primer_cosmos,71,149.971304,2.302828,0.457715,0.051905,REX,330.821259,0.098181,True
lens_scene,primer_cosmos,72,149.971540,2.355394,0.743305,0.040575,REX,747.871704,0.209526,True
lens_scene,primer_cosmos,73,149.971927,2.321263,0.875520,0.067763,EXP,684.695679,0.119109,True
lens_scene,primer_cosmos,74,149.973115,2.338001,0.908396,0.043829,DEV,2327.007568,0.163019,True
lens_scene,primer_cosmos,75,149.974752,2.314890,0.880113,0.056815,EXP,454.523285,0.087202,True
lens_scene,primer_cosmos,76,149.975622,2.325534,0.850898,0.082081,REX,412.506042,0.092369,True
lens_scene,primer_cosmos,77,149.975825,2.354688,0.836926,0.053144,REX,1916.523682,0.264706,True
lens_scene,primer_cosmos,78,149.975858,2.352016,0.863380,0.047912,DEV,1332.246216,0.212001,True
lens_scene,primer_cosmos,79,149.976395,2.308473,0.903177,0.062168,REX,743.130432,0.180327,True
lens_scene,primer_cosmos,80,149.978409,2.315342,0.870867,0.048908,REX,1245.565430,0.229743,True
lens_scene,primer_cosmos,81,149.979771,2.336768,0.631330,0.051828,SER,1686.147217,0.181023,True
lens_scene,primer_cosmos,82,149.980853,2.351511,0.931370,0.057929,DEV,1579.930786,0.158144,True
lens_scene,primer_cosmos,83,149.980985,2.362049,0.919797,0.046790,DEV,1187.880981,0.198632,True
lens_scene,primer_cosmos,84,149.981075,2.319851,0.878077,0.069445,REX,922.949585,0.175696,True
lens_scene,primer_cosmos,85,149.982906,2.343970,0.635680,0.045634,REX,2006.304810,0.245153,True
lens_scene,primer_cosmos,86,149.983232,2.317163,0.946864,0.056828,DEV,2092.225586,0.170580,True
lens_scene,primer_cosmos,87,149.983926,2.318073,0.868342,0.053262,DEV,777.439880,0.113608,True
lens_scene,primer_cosmos,88,149.984596,2.362039,0.799331,0.082000,DEV,624.406555,0.216699,True
lens_scene,primer_cosmos,89,149.984839,2.360944,0.963639,0.078459,EXP,581.516357,0.068855,True
lens_scene,primer_cosmos,90,149.985370,2.322432,0.936246,0.091747,REX,580.883911,0.207254,True
lens_scene,primer_cosmos,91,149.986219,2.323212,0.847483,0.097525,REX,2165.017334,0.229496,True
lens_scene,primer_cosmos,92,149.986626,2.325764,0.509568,0.029712,REX,996.443298,0.225208,True
lens_scene,primer_cosmos,93,149.987580,2.325417,0.593986,0.093889,EXP,155.528824,0.110633,True
lens_scene,primer_cosmos,94,149.989237,2.339100,0.926693,0.055896,REX,1404.163818,0.208269,True
lens_scene,primer_cosmos,95,149.990228,2.336687,0.959434,0.049123,DEV,1584.863159,0.146451,True
