role,source_field,ra_deg,dec_deg,z_spec_desi,z_phot_legacy,sigma_v_kms,sigma_v_ivar,F115W_AB,F115W_AB_err,F150W_AB,F150W_AB_err,F277W_AB,F277W_AB_err,desi_targetid,desi_legacy_match_arcsec,jwst_match_arcsec
calibration,primer_cosmos,150.175648,2.358691,0.218776,0.182201,150.178650,0.002388,18.965197,0.000261,18.626974,0.000219,18.783160,0.000232,39627841603637918,0.069921,0.101365
calibration,primer_cosmos,150.176272,2.327666,0.219521,0.220494,129.212723,0.001342,19.603728,0.000360,19.310935,0.000305,19.555330,0.000335,39627841603637938,0.015891,0.041092
calibration,primer_cosmos,150.188679,2.296675,0.167344,0.178545,189.152847,0.002225,20.186920,0.011497,19.953992,0.001621,18.874754,0.000255,39627841603638236,0.001369,0.007936
calibration,primer_cosmos,150.134500,2.466732,0.728648,0.727863,314.591553,0.000343,20.813961,0.001007,20.315363,0.000632,19.710927,0.000370,39627847643434315,0.011843,0.025251
calibration,primer_cosmos,150.166055,2.406631,0.167677,0.174017,215.074539,0.000743,19.141982,0.000283,18.874498,0.000245,19.271893,0.000292,39627847643435030,0.006788,0.063255
calibration,primer_cosmos,150.182148,2.451356,0.429078,0.429870,212.464920,0.000528,20.017908,0.000488,19.570497,0.000363,19.252011,0.000294,39627847643435442,0.017021,0.054980
calibration,primer_cosmos,150.198975,2.402231,0.905225,0.923419,276.779694,0.000152,21.075139,0.001214,20.699606,0.000816,20.067061,0.000465,39627847643435819,0.021504,0.044513
calibration,primer_cosmos_mosaic,149.932370,2.335492,0.490843,0.499828,131.725235,0.002155,19.665675,,19.081489,,18.305088,,39627841599443641,0.012017,0.000000
calibration,primer_cosmos_mosaic,149.959956,2.362808,0.944711,0.919489,336.850769,0.000081,20.684566,,20.267190,,19.555808,,39627841599444345,0.047693,0.000000
calibration,primer_cosmos_mosaic,149.929262,2.409003,0.890324,0.869158,272.199280,0.000424,20.300292,,19.872445,,19.207132,,39627847639240655,0.023963,0.000000
calibration,primer_cosmos_mosaic,149.938813,2.433363,0.313820,0.315730,203.509628,0.000589,19.057228,,18.642697,,18.436237,,39627847639240902,0.030466,0.000000
calibration,primer_cosmos_mosaic,149.963940,2.444230,0.887436,0.867357,302.780365,0.000144,20.727064,,20.311365,,19.664077,,39627847639241496,0.037850,0.000000
calibration,primer_cosmos_mosaic,149.973369,2.448231,0.264958,0.263768,203.854919,0.004279,17.929544,,17.603367,,17.678101,,39627847639241730,0.026681,0.000000
calibration,primer_cosmos_mosaic,149.978698,2.456506,0.264546,0.279352,229.980347,0.000716,18.769529,,18.451630,,18.537903,,39627847639241854,0.014199,0.000000
calibration,primer_cosmos_mosaic,149.980972,2.387828,0.725437,0.737392,300.683655,0.000555,19.829551,,19.401456,,18.827861,,39627847639241922,0.021605,0.000000
calibration,primer_cosmos_mosaic,149.994020,2.448554,0.731089,0.695627,221.803268,0.000280,20.319487,,19.849340,,19.061329,,39627847639242231,0.034790,0.000000
calibration,primer_cosmos_mosaic,149.997814,2.389789,0.842398,0.808199,255.860809,0.001817,20.055763,,19.655922,,19.008594,,39627847639242313,0.016803,0.000000
calibration,primer_cosmos_mosaic,150.003310,2.407535,0.348505,0.371771,279.489258,0.000928,18.601302,,18.223990,,18.059237,,39627847643431058,0.060828,0.000000
calibration,primer_cosmos_mosaic,150.018150,2.430740,0.220159,0.219566,223.910019,0.006685,17.473551,,17.165459,,17.325082,,39627847643431380,0.011628,0.000000
