index,lensed,completed,z_lens,z_source,theta_E_arcsec,sigma_v_kms,sigma_v_F115W_kms,sigma_v_F150W_kms,sigma_v_F277W_kms,einstein_mass_msun,lens_mag_F115W_ab,lens_mag_F150W_ab,lens_mag_F277W_ab
530,1,1,0.640675,1.77778,0.527955,188.241,nan,nan,nan,9.68904e+10,19.6929,19.2562,18.6956
531,1,1,0.65,1.63158,0.529416,194.517,196.395,191.205,194.517,1.04392e+11,21.3889,21.0771,20.6871
532,1,1,1.06,1.63158,0.503394,264.784,263.632,264.784,287.745,2.14909e+11,21.4121,20.9651,20.2885
533,1,1,1.17,2.7037,0.549586,221.826,221.826,221.239,234.342,1.67613e+11,22.4263,22.0097,21.4444
534,1,1,0.65,1.94118,0.583677,194.517,196.395,191.205,194.517,1.15092e+11,21.3889,21.0771,20.6871
535,1,1,0.647969,3.54545,0.516869,165.61,nan,nan,nan,7.37778e+10,20.1525,19.7615,19.2824
536,1,1,0.62,3.16667,0.561635,173.163,175.576,168.377,173.163,8.59714e+10,21.751,21.5048,21.0676
537,1,1,0.71,3.54545,0.508781,167.779,167.779,165.646,173.36,7.73792e+10,22.3063,21.9337,21.4207
538,1,1,1.08,4,0.524378,188.748,191.257,183.71,188.748,1.1418e+11,22.8559,22.6027,22.1698
539,1,1,0.62,1.7027,0.590386,198.909,198.909,193.346,200.727,1.19242e+11,21.2091,20.9042,20.4261
